Aaoar1	Aaosphaeria	arxii	Aaosphaeria arxii
Abobi1	Abortiporus	biennis	Abortiporus biennis
Abobie1	Abortiporus	biennis	Abortiporus biennis
Absrep1	Absidia	repens	Absidia repens
Achstr1	Achaetomium	strumarium	Achaetomium strumarium
Aciri1	Acidomyces	richmondensis	Acidomyces richmondensis
Acral2	Acremonium	alcalophilum	Acremonium alcalophilum
Acrchr1	Acremonium	chrysogenum	Acremonium chrysogenum
Agabi	Agaricus	bisporus	Agaricus bisporus
Agabi	Agaricus	bisporus	Agaricus bisporus
Agahy1	Agaricostilbum	hyphaenes	Agaricostilbum hyphaenes
Agrpra2	Agrocybe	praecox	Agrocybe praecox
Albpec1	Albatrellus	peckianus	Albatrellus peckianus
Alikh1	Aliquandostipite	khaoyaiensis	Aliquandostipite khaoyaiensis
Altal1	Alternaria	alternata	Alternaria alternata
Altalt1	Alternaria	alternata	Alternaria alternata
Altro1	Alternaria	rosae	Alternaria rosae
Amamu1	Amanita	muscaria	Amanita muscaria
Amath1	Amanita	thiersii	Amanita thiersii
Amnli1	Amniculicola	lignicola	Amniculicola lignicola
Amore1	Amorphotheca	resinae	Amorphotheca resinae
Amycha1	Amylostereum	chailletii	Amylostereum chailletii
Amylap1	Amylocystis	lapponica	Amylocystis lapponica
Anasp1	Anaeromyces	robustus	Anaeromyces robustus
Anoalb1	Anomoloma	albolutescens	Anomoloma albolutescens
Anomyc1	Anomoporia	myceliosa	Anomoporia myceliosa
Antav1	Anthostoma	avocetla	Anthostoma avocetla
Antser1	Antrodia	serialis	Antrodia serialis
Antsi1	Antrodia	sinuosa	Antrodia sinuosa
Apibac1	Apiosordaria	backusii	Apiosordaria backusii
Apimo1	Apiospora	montagnei	Apiospora montagnei
Aplpr1	Aplosporella	prunicola	Aplosporella prunicola
Apope1	Apodospora	peruviana	Apodospora peruviana
Armcep1	Armillaria	cepistipes	Armillaria cepistipes
Armect1	Armillaria	ectypa	Armillaria ectypa
Armlut1	Armillaria	luteobubalina	Armillaria luteobubalina
Armnab1	Armillaria	nabsnona	Armillaria nabsnona
Armosto1	Armillaria	ostoyae	Armillaria ostoyae
Artel1	Artolenzites	elegans	Artolenzites elegans
Ascim1	Ascobolus	immersus	Ascobolus immersus
Ascra1	Ascochyta	rabiei	Ascochyta rabiei
Ascru1	Ascoidea	rubescens	Ascoidea rubescens
Aspacri1	Aspergillus	acristatulus	Aspergillus acristatulus
Aspacu1	Aspergillus	aculeatinus	Aspergillus aculeatinus
Aspamy1	Aspergillus	amylovorus	Aspergillus amylovorus
Aspbisp1	Aspergillus	bisporus	Aspergillus bisporus
Aspbom1	Aspergillus	bombycis	Aspergillus bombycis
Aspbr1	Aspergillus	brasiliensis	Aspergillus brasiliensis
Aspbrev1	Aspergillus	brevijanus	Aspergillus brevijanus
Aspbru1	Aspergillus	brunneoviolaceus	Aspergillus brunneoviolaceus
Aspca3	Aspergillus	carbonarius	Aspergillus carbonarius
Aspcal1	Aspergillus	calidoustus	Aspergillus calidoustus
Aspcam1	Aspergillus	campestris	Aspergillus campestris
Aspcand1	Aspergillus	candidus	Aspergillus candidus
Aspchev1	Aspergillus	chevalieri	Aspergillus chevalieri
Aspcos1	Aspergillus	costaricaensis	Aspergillus costaricaensis
Aspcri1	Aspergillus	cristatus	Aspergillus cristatus
Aspdese1	Aspergillus	desertorum	Aspergillus desertorum
Aspell1	Aspergillus	ellipticus	Aspergillus ellipticus
